name,description,price
Vegan Winged Nuggets with Dip,"Vegan winged Nuggets fried on individual skewers and served with separate dip.",4.90
Wrap with Vegan Winged Nuggets,"Vegan winged Nuggets combined in wrap with tomatoes, peppers, salad, cucumber and seasoning.",4.90
Puff Pastry Parcels Filled with Spinach,"Small puff pastry pockets filled with spinach and cream cheese A serving contains 1 piece",3.90
Pretzels,"Delicious Bavarian-style pretzels with coarse salt A serving contains 1 piece",2.50
Bruschetta tomato and basil,"We serve you fresh bruschetta made from tomatoes, basil, garlic, onions and olive oil on baguette bread. One serving contains 1 half a roll",2.90
Canapé with Deli Pastrami,"Deli pastrami with horseradish",4.90
Canapé with smoked salmon,"Canapés topped with fine smoked salmon with cream horseradish, decorated with a little dill. One serving contains 1 canapé",6.90
Chicken nuggets with dip,"Our chicken nuggets are small fried nibbles made from breaded chicken. There is also a spicy Asia dip. One serving contains about 3 pieces",2.90
Bacon-wrapped dates,"Delicious dates wrapped in crispy fried ham. One serving contains about 3 pieces",2.50
Meatball skewers with salsa dip,"The small meatballs made from mixed minced meat are served with peppers on a skewer. We also serve a spicy salsa dip. One serving contains 1 skewer",2.90
Shrimp skewers,"Delicious skewer with shrimp and pineapple",5.90
Vegetable sticks platter with dip,"Various vegetable sticks of celery, carrots, peppers and cucumbers, with herb sour cream dip One serving contains 8 sticks + 30g dip",3.90
Meatballs,"Small meeatballs made from mixed minced meat, served with salsa dip One serving contains about 3 meatballs",2.90
Chicken skewer with pineapple,"Fried chicken breast fillet with fresh pineapple on a skewer One serving contains 1 skewer",5.90
Bagels wiht Cream Cheese,"Half a vegetarian bagel topped with cream cheese, lettuce, tomato and cucumber. One serving contains half a bagel.",2.90
Bagels with Ham,"Half a bagel, heartily topped with ham, lettuce, tomato and cucumber. One serving contains half a bagel.",5.90
Breadroll with cheese,"Half rolls topped with Gouda cheese and lollo salad, refined with fig mustard One serving contains 1 half a roll",2.90
Cheese skewers,"Cheese skewers with young Gouda, each with grapes or olives ONe serving contains 3 skewers",3.90
Half bun with tomato and mozzarella,"Half rolls topped with tomato and mozzarella slices, garnished with pesto and basil. One serving contains 1 half a roll",2.90
Tomato and mozzarella skewers,"Small mozzarella balls and cherry tomatoes on a skewer with fresh basil One serving contains 2 skewers",3.90
Breadroll with salami,"Half bread rolls topped with salami and lollo salad, refined with pickles One serving contains 1 half a roll",3.90
Breadroll with ham,"Half a roll topped with boiled ham and lollo salad, refined with cream horseradish One serving contains 1 half a roll",3.90
Mini Cheeseburger,"Small mini cheeseburgers with minced beef patties, tomatoes and onions, and burger sauce one serving contains 1 burger",5.90
Fruit skewers,"Fresh seasonal fruit on handy skewers One serving includes 2 skewers",2.90
Mini-Schnitzel(pork),"Deep fried mini pork schnitzel in a crispy breading One portion contains 2 pieces",4.90
Wrap with sun-dried tomatoes,"Tortilla wrap filled with sundried tomatoes, lettuce, bell pepper, fresh tomato, cucumber and cream cheese One serving includes half a wrap.",3.90
Wrap with chicken,"Tortilla wrap filled with chicken, lettuce, bell pepper, tomato cucumber and cream cheese One serving includes half a wrap.",3.90
Wrap with tuna,"Tortilla wrap filled with tuna, lettuce, tomato, bell pepper, cucumber and cream cheese One serving includes half a wrap",3.90
Vegan Mini Cheeseburger,"Small mini cheeseburgers with vegan patties, vegan cheese, tomatoes and onions, and burger sauce One serving contains 1 burger",5.90
German Curry Sausage in Glass,"German curry sausage in fruity-spicy tomato sauce topped with curry powder. One portion consists of one glass.",5.90
Vegan curry sausage in glass,"Vegan curry sausage in fruity-spicy tomato sauce, topped with curry powder. One portion consists of one glass.",7.90
Vegetarian grilled halloumi skewers with fresh vegetables,"Vegetarian grilled halloumi skewers with fresh vegetables. One portion consists of one skewer.",6.90
Mini-Schnitzel(chicken),"Deep-fried, bite-sized mini chicken schnitzels in crispy breading. One portion contains 2 pieces",4.90
Spanish Beef Empanadas,"Spanish Beef Empanadas. One Portion consists of ca 130 Gramm.",7.90
